line_comment_token,n,highest_rank,title,appeared,number_of_users,number_of_jobs
//,161,1,Java,1995,5550123,85206
#,70,4,Python,1991,2818037,46976
;,49,41,Clojure,2007,44933,469
--,31,22,Ada,1980,12116,2184
',16,47,Visual Basic,1991,15898,3294
%,12,11,MATLAB,1984,2661579,32228
!,7,14,Fortran,1957,165151,1931
*,5,36,SAS,1976,361103,4682
REM,2,60,BASIC,1964,7025,0
*>,1,19,COBOL,1959,187188,2616
---,1,486,HOPE,1978,145,0
/,1,410,K,1993,585,0
NB.,1,188,J,1990,3779,0
\,1,121,Forth,1970,3230,0
\*,1,275,TLA,1999,1055,0
__,1,1408,popr,2012,217,0
~,1,1275,Mouse,1970,81,0
⍝,1,91,APL,1964,3670,0
