pldb_id,title,type,appeared,language_rank,features_has_comments,features_has_semantic_indentation,features_has_line_comments,line_comment_token,last_activity,number_of_users,number_of_jobs,origin_community,central_package_repository_count,file_type,is_open_source
java,Java,pl,1995,1,TRUE,FALSE,TRUE,//,2022,5550123,85206,Sun Microsystems,NA,text,NA
javascript,JavaScript,pl,1995,2,TRUE,FALSE,TRUE,//,2022,5962666,63993,Netscape,NA,text,NA
c,C,pl,1972,3,TRUE,FALSE,TRUE,//,2022,3793768,59919,Bell Labs,0,text,NA
python,Python,pl,1991,4,TRUE,TRUE,TRUE,#,2022,2818037,46976,Centrum Wiskunde & Informatica,NA,text,NA
php,PHP,pl,1995,9,TRUE,FALSE,TRUE,//,2022,2356101,30349,Zend,NA,text,NA
perl,Perl,pl,1987,10,TRUE,FALSE,TRUE,#,2022,491984,13482,Unisys,NA,text,NA
matlab,MATLAB,pl,1984,11,TRUE,FALSE,TRUE,%,2022,2661579,32228,University of New Mexico,NA,text,NA
ruby,Ruby,pl,1995,13,TRUE,FALSE,TRUE,#,2022,357730,11438,NA,NA,text,NA
csharp,C#,pl,2000,12,TRUE,FALSE,TRUE,//,2022,217261,19747,Microsoft,NA,text,NA
fortran,Fortran,pl,1957,14,TRUE,FALSE,TRUE,!,2022,165151,1931,IBM,0,text,NA
r,R,pl,1993,16,TRUE,FALSE,TRUE,#,2022,1075613,14173,University of Auckland,NA,text,TRUE
go,Go,pl,2009,18,TRUE,FALSE,TRUE,//,2022,525179,6403,Google,0,text,TRUE
scala,Scala,pl,2004,21,TRUE,FALSE,TRUE,//,2022,139471,4525,École Polytechnique Fédérale de Lausanne,0,text,TRUE
swift,Swift,pl,2014,23,TRUE,FALSE,TRUE,//,2022,362590,3754,Apple,NA,text,TRUE
ada,Ada,pl,1980,22,TRUE,FALSE,TRUE,--,2022,12116,2184,CII Honeywell Bull,0,text,NA
cobol,COBOL,pl,1959,19,TRUE,FALSE,TRUE,*>,2022,187188,2616,Conference/Committee on Data Systems Languages,0,text,NA
rust,Rust,pl,2010,26,TRUE,FALSE,TRUE,//,2023,302193,141,Mozilla,NA,text,TRUE
kotlin,Kotlin,pl,2011,25,TRUE,FALSE,TRUE,//,2023,130094,5276,JetBrains,0,text,TRUE
powershell,PowerShell,pl,2006,28,TRUE,FALSE,TRUE,#,2022,208708,19576,Microsoft,NA,text,TRUE
pascal,Pascal,pl,1970,29,TRUE,FALSE,FALSE,//,2022,7708,102,ETH Zürich,0,text,NA
haskell,Haskell,pl,1990,31,TRUE,TRUE,TRUE,--,2022,37628,495,Yale University && Chalmers University && Microsoft Research && University of Edinburgh,NA,text,NA
typescript,TypeScript,pl,2012,32,TRUE,FALSE,TRUE,//,2023,216959,1542,Microsoft,NA,text,TRUE
sas,SAS,pl,1976,36,TRUE,FALSE,TRUE,*,2022,361103,4682,NA,0,text,NA
lua,Lua,pl,1993,34,TRUE,FALSE,TRUE,--,2022,58860,1106,Tecgraf,NA,text,TRUE
julia,Julia,pl,2012,35,TRUE,FALSE,TRUE,#,2023,81911,85,https://github.com/JuliaLang,NA,text,TRUE
prolog,Prolog,pl,1972,39,TRUE,FALSE,TRUE,%,2022,51482,446,University of Edinburgh && Aix-Marseille University,NA,text,NA
objective-c,Objective-C,pl,1984,43,TRUE,FALSE,TRUE,//,2022,12380,4276,Apple,NA,text,NA
clojure,Clojure,pl,2007,41,TRUE,FALSE,TRUE,;,2022,44933,469,"Cognitect, Inc",NA,text,TRUE
scheme,Scheme,pl,1970,50,TRUE,FALSE,TRUE,;,2022,3796,1174,https://community.scheme.org/,0,text,NA
erlang,Erlang,pl,1986,48,TRUE,FALSE,TRUE,%,2022,27148,308,Ericsson,NA,text,TRUE
bash,Bash,pl,1989,40,TRUE,FALSE,TRUE,#,2022,61747,4774,GNU,NA,text,TRUE
mathematica,Mathematica,pl,1988,45,TRUE,FALSE,FALSE,NA,2022,148741,1553,Wolfram Research,NA,text,FALSE
elixir,Elixir,pl,2011,46,TRUE,FALSE,TRUE,#,2022,55882,214,The Elixir Team,NA,text,TRUE
cuda,CUDA,pl,2007,49,TRUE,FALSE,NA,NA,2018,38623,769,Nvidia,0,text,TRUE
dart,Dart,pl,2011,51,TRUE,FALSE,TRUE,//,2022,38325,208,Google,NA,text,TRUE
modula-2,Modula-2,pl,1978,52,TRUE,FALSE,FALSE,NA,2022,655,0,ETH Zurich,0,text,NA
visual-basic,Visual Basic,pl,1991,47,TRUE,FALSE,TRUE,',2022,15898,3294,Microsoft,0,text,NA
tcl,Tcl,pl,1988,53,TRUE,FALSE,TRUE,#,2022,3106,0,NA,0,text,TRUE
actionscript,ActionScript,pl,1998,54,TRUE,FALSE,TRUE,NA,2022,1630,88,Macromedia,0,text,NA
vba,VBA,pl,1993,55,TRUE,NA,TRUE,',2022,3650,511,Microsoft,0,text,NA
basic,BASIC,pl,1964,60,TRUE,FALSE,TRUE,REM,2022,7025,0,Dartmouth College,0,text,NA
awk,awk,pl,1977,61,TRUE,FALSE,TRUE,#,2022,4680,7,Bell Labs,0,text,NA
delphi,Delphi,pl,1995,62,TRUE,FALSE,TRUE,//,2022,7084,181,"Idera, Inc.",0,text,FALSE
f-sharp,F#,pl,2005,65,TRUE,TRUE,TRUE,//,2022,4316,0,Microsoft Research,NA,text,TRUE
ocaml,OCaml,pl,1996,69,TRUE,FALSE,FALSE,NA,2022,3341,0,Institut national de recherche en sciences et technologies du numérique,NA,text,TRUE
eiffel,Eiffel,pl,1986,71,TRUE,FALSE,TRUE,--,2023,1583,0,Eiffel Software,0,text,NA
crystal,Crystal,pl,2014,63,TRUE,FALSE,TRUE,#,2022,27065,0,https://forum.crystal-lang.org/,0,text,TRUE
smalltalk,Smalltalk,pl,1972,77,TRUE,FALSE,FALSE,NA,2022,5400,0,NA,NA,text,NA
modula-3,Modula-3,pl,1986,74,TRUE,FALSE,FALSE,NA,2018,641,0,Digital Equipment Corporation && elego Software Solutions GmbH,0,text,TRUE
elm,Elm,pl,2012,67,TRUE,TRUE,TRUE,--,2022,11377,127,https://github.com/elm,NA,text,TRUE
racket,Racket,pl,1994,75,TRUE,FALSE,TRUE,;,2022,7353,48,PLT Inc.,NA,text,TRUE
groovy,Groovy,pl,2003,79,TRUE,FALSE,TRUE,//,2022,6056,0,https://github.com/grails,0,text,TRUE
d,D,pl,2001,81,TRUE,FALSE,TRUE,//,2022,6311,0,Digital Mars,NA,text,NA
common-lisp,Common Lisp,pl,1984,86,TRUE,FALSE,TRUE,;,2022,1891,24,American National Standards Institute,0,text,NA
reason,Reason,pl,2016,59,TRUE,FALSE,TRUE,//,2022,11216,0,Facebook,0,text,TRUE
sagemath,Sage,pl,2005,84,TRUE,FALSE,TRUE,#,2022,1116,0,NA,0,text,TRUE
maple,Maple,pl,1982,66,TRUE,FALSE,TRUE,#,2022,53310,511,Cybernet Systems Co. Ltd,NA,text,NA
coffeescript,CoffeeScript,pl,2009,64,TRUE,TRUE,TRUE,#,2022,23320,216,https://github.com/jashkenas,0,text,TRUE
apl,APL,pl,1964,91,TRUE,FALSE,TRUE,⍝,2022,3670,0,Harvard University,0,text,NA
opencl,OpenCL,pl,2009,94,TRUE,FALSE,TRUE,//,2018,3731,266,Khronos Group,0,text,TRUE
xquery,XQuery,pl,2007,101,TRUE,FALSE,FALSE,NA,2022,1351,125,W3C,0,text,NA
spss,SPSS,pl,1968,104,TRUE,FALSE,FALSE,NA,2022,965674,9587,NA,0,text,NA
rexx,Rexx,pl,1979,116,TRUE,FALSE,FALSE,NA,2022,435,40,IBM,0,text,NA
nim,Nim,pl,2008,103,TRUE,TRUE,TRUE,#,2022,19118,0,https://github.com/nim-lang,NA,text,TRUE
