"Scientific Name","Common Name","Where Listed","ESA Listing Status  ","Lead Region  ","Listing Date","Most Recently Completed 5YSR","5YSR Recommendation","Notice of In Progress 5YSR","Notice Date of In Progress 5YSR","Group"
"Tryonia circumstriata (=stocktonensis)","Tryonia, Gonzales","<div>Wherever found</div>","E","2","2013","2019/09/23","No change in Status","No Five Year Review In Progress","","Snails"
"Lesquerella kingii ssp. bernardina","Bladderpod, San Bernardino Mountains","<div>Wherever found</div>","E","8","1994","2022/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Labordia lydgatei","Kamakahala","<div>Wherever found</div>","E","1","1991","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Stygobromus hayi","Amphipod, Hay's Spring","<div>Wherever found</div>","E","5","1982","2020/07/15","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Chasmistes liorus","Sucker, June","<div>Wherever found</div>","T","6","1986","2021/01/04","Downlist to T","No Five Year Review In Progress","","Fishes"
"Myrsine juddii","Kolea","<div>Wherever found</div>","E","1","1996","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Erigeron parishii","Daisy, Parish's","<div>Wherever found</div>","T","8","1994","2022/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lysimachia asperulaefolia","Loosestrife, rough-leaved","<div>Wherever found</div>","E","4","1987","2021/08/24","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Medionidus penicillatus","Moccasinshell, Gulf","<div>Wherever found</div>","E","4","1998","2020/09/17","No change in Status","No Five Year Review In Progress","","Clams"
"Sisyrinchium dichotomum","Irisette, white","<div>Wherever found</div>","E","4","1991","2019/07/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Trifolium stoloniferum","Clover, running buffalo","<div></div>","DM","3","1987","2019/08/27","Delist: The species does not meet the definition of an endangered species or a threatened species","Removing Trifolium  stoloniferum (Running Buffalo Clover) From the Federal List of  Endangered and Threatened Plants; Proposed rule","2019/08/27","Flowering Plants"
"Macbridea alba","Birds-in-a-nest, white","<div></div>","T","4","1992","2020/08/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
