"","address","lat","long"
"1","Orient , WA",41.2031032,-94.4165181
"2","Malad City , ID",42.1891925,-112.247518720679
"3","Grenada , CA",41.6457629,-122.5230074
"4","High Rolls Mountain Park , NM",32.9501213,-105.82730775
"5","Freedom , WY",42.9826645,-111.0438995
"6","Honokaa , HI",20.078505,-155.468903
"7","Valentine , NE",42.8746752,-100.5506158
"8","Westfir , OR",43.7579967,-122.4946536
"9","Thompson , UT",40.871059,-110.1823771
"10","Conway , WA",40.7491599,-94.6199387
"11","Athena , OR",45.8119097,-118.491336
"12","San Jose , CA",37.3361663,-121.890591
"13","Ravenna , NE",41.0253609,-98.9125933
"14","Parks , AZ",35.260615,-111.9485469
"15","Fort Washakie , WY",43.010555,-108.941029239842
"16","Littleton , CO",39.613321,-105.016649
"17","Meadville , MO",39.786761,-93.3014659
"18","Moab , UT",38.5738096,-109.5462146
"19","Hawthorne , CA",33.9188589,-118.3483256
"20","Manville , WY",42.7791338,-104.617736
"21","June Lake , CA",37.7785252,-119.0762508
"22","Sixes , OR",42.8201087,-124.4831624
"23","Holstein , NE",40.465292,-98.652013
"24","Westerville , NE",41.3961189,-99.3809359
"25","Ballwin , MO",38.5936028,-90.5385549
"26","Fields Landing , CA",40.7252211,-124.2169535
"27","Louisiana , MO",39.4492151,-91.0465742
"28","Kansas City , MO",39.100105,-94.5781416
"29","Mesa , ID",44.628776,-116.4507007
"30","Lonetree , WY",41.034275,-110.143414073839
"31","Centerview , MO",38.7441778,-93.8452176
"32","Colorado Springs , CO",38.8339578,-104.825348
"33","Blairsden-Graeagle , CA",39.7785299,-120.6212815
"34","Cardwell , MO",36.0470133,-90.2928776
"35","Phoenix , AZ",33.4484367,-112.074141
"36","Newhall , CA",34.3798765,-118.5291917
"37","Tomales , CA",38.2468075,-122.906304610241
"38","Redford , MO",37.3200482,-90.8984562
"39","Weeping Water , NE",40.87,-96.140562
"40","Portland , OR",45.5202471,-122.674194
"41","Iliff , CO",40.759156,-103.0665894
"42","Burlington , WA",40.8126922,-91.1020205
"43","Wales , AK",65.611614,-168.079665079689
"44","Mound City , MO",40.1311066,-95.2316428
"45","Greenview , CA",54.5764984,-118.1486156
"46","Lakeport , CA",39.0429506,-122.915829
"47","Llano , NM",36.1400257,-105.681682
"48","Carlotta , CA",40.537357,-124.0606039
"49","Dumont , CO",42.7501516,-92.9731317
"50","Fullerton , NE",41.3633844,-97.968862
"51","North Loup , NE",41.4952891,-98.773137
"52","Browning , MO",40.0352984,-93.1624291
"53","Kent , OR",45.1936364,-120.6960608
"54","Fiddletown , CA",38.5037966,-120.7554891
"55","Huntington Beach , CA",33.6783336,-118.0000166
"56","Meridian , ID",43.6086295,-116.392326
"57","Glendale , CA",34.1469416,-118.2478471
"58","Alva , WY",44.6947071,-104.4413419
"59","Blairstown , MO",38.5558482,-93.960774
"60","Laguna Hills , CA",33.5948758,-117.6882067
"61","Albuquerque , NM",35.0841034,-106.650985
"62","Azusa , CA",34.1338751,-117.9056046
"63","Gardiner , OR",43.7301403,-124.1105965
"64","Rock Springs , WY",41.5860557,-109.2194544
"65","Paauilo , HI",20.04098805,-155.366911493623
"66","Eugene , OR",44.0505054,-123.0950506
"67","Daly City , CA",37.6904826,-122.47267
"68","Mendon , UT",41.7099297,-111.977725
"69","Powell Butte , OR",45.4870645,-122.5039797
"70","Utica , MO",39.7436267,-93.6266024
"71","Santa Monica , CA",34.0194704,-118.491227
"72","Laramie , WY",41.311367,-105.591101
"73","Lagrange , WY",35.0921159,-79.0109534
"74","Brainard , NE",41.1842865,-97.0024306
"75","Humboldt , AZ",34.5009866,-112.2392022
"76","Corona , CA",33.8752945,-117.5664449
"77","Yellowstone National Park , WY",44.6200885,-110.560689331431
"78","Shedd , OR",44.4615118,-123.1103713
"79","Independence , MO",39.0924792,-94.4137923
"80","Paradise Valley , AZ",33.5428006,-111.9556001
"81","Camden , MO",38.0323133,-92.7638327
"82","San Diego , CA",32.7174202,-117.1627728
"83","Kissee Mills , MO",36.6836724,-93.0498995
"84","Espanola , NM",35.9910962,-106.0808358
"85","Campbell , NE",40.298348,-98.732016
"86","Indian Wells , CA",33.7217965,-116.338303
"87","Mountain Center , CA",33.7152274,-116.724991030614
"88","Helm , CA",36.5316159,-120.0982058
"89","Lowell , OR",43.9184592,-122.7836822
"90","Lamy , NM",35.4806651,-105.880191
"91","Hatch , UT",37.6497019,-112.4343738
"92","Oakland , CA",37.8044557,-122.271356
"93","Parker Dam , CA",34.2872371,-114.1430027
"94","Rocky Mount , MO",38.3277052,-92.6692515
"95","Moriarty , NM",34.9972037,-106.0494876
"96","Hooper , NE",41.611694,-96.5476704
"97","Cascade Locks , OR",45.669513,-121.890402
"98","Vinton , CA",37.3823369,-120.618537577187
"99","Roseland , NE",40.4713068,-98.5589087
"100","Lake Oswego , OR",45.4206749,-122.670649
"101","Parker , CO",33.0555687,-96.6220692
"102","Colton , WA",46.5678598,-117.1283287
"103","Kirtland Afb , NM",35.0055686,-106.468042101893
"104","Riverton , WY",43.0247245,-108.380727
"105","Sacramento , CA",38.5810606,-121.493895
"106","Sun City , CA",33.7010223,-117.2027867
"107","Jelm , WY",41.0577532,-106.0133421
"108","Meredith , CO",43.657937,-71.500397
"109","Luray , MO",40.4530932,-91.8818374
"110","Smith River , CA",41.9281678,-124.1470274
"111","Superior , AZ",33.293945,-111.0962305
"112","Red River , NM",36.702065,-105.395724649235
"113","Arvada , CO",39.8005505,-105.0811573
"114","Bay City , OR",45.522604,-123.889296
"115","Sutherland , NE",41.1571138,-101.1261815
"116","Owensville , MO",38.3456023,-91.5015487
"117","Altonah , UT",40.4013411,-110.2937692
"118","Pueblo , CO",38.2544472,-104.609141
"119","Issaquah , WA",47.5348778,-122.0432974
"120","Saint Louis , MO",38.6319657,-90.2428756
"121","Wheaton , MO",36.7628453,-94.0560413
"122","Palmdale , CA",34.5793131,-118.1171108
"123","Burbank , WA",46.2009506,-119.0134038
"124","Jordan Valley , OR",42.9752442,-117.0551332
"125","Newberg , OR",45.300347,-122.972751
"126","American Fork , UT",40.3768064,-111.7959146
"127","Stayton , OR",44.8006775,-122.794533
"128","Napa , CA",38.2971367,-122.2855293
"129","Norwalk , CA",33.9092802,-118.0849169
"130","Sprague , NE",40.625835,-96.744743
"131","Crownpoint , NM",35.6873288,-108.1442972
"132","Claremont , CA",34.0966764,-117.7197785
"133","Nelson , NE",40.9453426,-96.7916854
"134","Brashear , MO",40.1489249,-92.3790771
"135","Tekoa , WA",47.2233681,-117.0708758
"136","Red Cliff , CO",46.8520332,-90.790336
"137","Omaha , NE",41.2587459,-95.9383758
"138","Arnold , MO",38.4226711,-90.3758287
"139","Odessa , MO",38.9995797,-93.9539663
"140","Woods Cross , UT",40.8716964,-111.8925775
"141","Broomfield , CO",39.9403995,-105.05208
"142","Unionville , MO",40.4769606,-93.0032615
"143","Carroll , NE",42.2768439,-97.1893021
"144","Manley , NE",40.9196531,-96.1660582
"145","Matthews , MO",36.7592218,-89.5867458
"146","Syracuse , MO",38.6700209,-92.8732509
"147","Ruidoso , NM",33.3315804,-105.6730991
"148","Howells , NE",41.7250059,-97.0028133
"149","Ashford , WA",46.758944,-122.031623
"150","Huslia , AK",65.7006862,-156.3953448
"151","Port Costa , CA",38.0448245,-122.184422024953
"152","Kirk , CO",32.6484465,-115.995407
"153","Monitor , WA",47.486853,-120.4192756
"154","Williamsburg , MO",33.1162568,-107.2933602
"155","Aurora , CO",41.7571701,-88.3147539
"156","Clarksville , MO",39.3706026,-90.9051315
"157","Scotts Mills , OR",45.0433165,-122.6680889
"158","Wendel , CA",40.3482346,-120.2335461
"159","Loving , NM",32.2862317,-104.095773
"160","Los Angeles , CA",34.0536909,-118.242766
"161","Vancouver , WA",45.6306954,-122.6744557
"162","Spirit Lake , ID",47.9662924,-116.8685314
"163","Vacaville , CA",38.3565773,-121.9877444
"164","La Grande , OR",45.3246068,-118.0878695
"165","Hubbell , NE",40.0082599,-97.4976335
"166","Mesa , AZ",33.4151117,-111.8314792
"167","Kaktovik , AK",70.1263327,-143.613402
"168","Coulee Dam , WA",47.9664413,-118.9758743
"169","Downey , CA",33.9404441,-118.1292846
"170","Wappapello , MO",36.9356086,-90.270939
"171","Seattle , WA",47.6038321,-122.330062
"172","Pleasant Hill , MO",38.794218,-94.2476723397531
"173","Buellton , CA",34.6134727,-120.193669
"174","Angwin , CA",38.5783555,-122.448651545455
"175","Kirtland , NM",36.7424605,-108.355308673982
"176","Seligman , MO",36.5208001,-93.9390651
"177","Craig , AK",55.4763889,-133.148333
