"address","lat","long"
"""Orient , WA""",41.2031,-94.4165
"""Malad City , ID""",42.1892,-112.2475
"""Grenada , CA""",41.6458,-122.523
"""High Rolls Mountain Park , NM""",32.9501,-105.8273
"""Freedom , WY""",42.9827,-111.0439
"""Honokaa , HI""",20.0785,-155.4689
"""Valentine , NE""",42.8747,-100.5506
"""Westfir , OR""",43.758,-122.4947
"""Thompson , UT""",40.8711,-110.1824
"""Conway , WA""",40.7492,-94.6199
"""Athena , OR""",45.8119,-118.4913
"""San Jose , CA""",37.3362,-121.8906
"""Ravenna , NE""",41.0254,-98.9126
"""Parks , AZ""",35.2606,-111.9485
"""Fort Washakie , WY""",43.0106,-108.941
"""Littleton , CO""",39.6133,-105.0166
"""Meadville , MO""",39.7868,-93.3015
"""Moab , UT""",38.5738,-109.5462
"""Hawthorne , CA""",33.9189,-118.3483
"""Manville , WY""",42.7791,-104.6177
"""June Lake , CA""",37.7785,-119.0763
"""Sixes , OR""",42.8201,-124.4832
"""Holstein , NE""",40.4653,-98.652
"""Westerville , NE""",41.3961,-99.3809
"""Ballwin , MO""",38.5936,-90.5386
"""Fields Landing , CA""",40.7252,-124.217
"""Louisiana , MO""",39.4492,-91.0466
"""Kansas City , MO""",39.1001,-94.5781
"""Mesa , ID""",44.6288,-116.4507
"""Lonetree , WY""",41.0343,-110.1434
"""Centerview , MO""",38.7442,-93.8452
"""Colorado Springs , CO""",38.834,-104.8253
"""Blairsden-Graeagle , CA""",39.7785,-120.6213
"""Cardwell , MO""",36.047,-90.2929
"""Phoenix , AZ""",33.4484,-112.0741
"""Newhall , CA""",34.3799,-118.5292
"""Tomales , CA""",38.2468,-122.9063
"""Redford , MO""",37.32,-90.8985
"""Weeping Water , NE""",40.87,-96.1406
"""Portland , OR""",45.5202,-122.6742
"""Iliff , CO""",40.7592,-103.0666
"""Burlington , WA""",40.8127,-91.102
"""Wales , AK""",65.6116,-168.0797
"""Mound City , MO""",40.1311,-95.2316
"""Greenview , CA""",54.5765,-118.1486
"""Lakeport , CA""",39.043,-122.9158
"""Llano , NM""",36.14,-105.6817
"""Carlotta , CA""",40.5374,-124.0606
"""Dumont , CO""",42.7502,-92.9731
"""Fullerton , NE""",41.3634,-97.9689
"""North Loup , NE""",41.4953,-98.7731
"""Browning , MO""",40.0353,-93.1624
"""Kent , OR""",45.1936,-120.6961
"""Fiddletown , CA""",38.5038,-120.7555
"""Huntington Beach , CA""",33.6783,-118
"""Meridian , ID""",43.6086,-116.3923
"""Glendale , CA""",34.1469,-118.2478
"""Alva , WY""",44.6947,-104.4413
"""Blairstown , MO""",38.5558,-93.9608
"""Laguna Hills , CA""",33.5949,-117.6882
"""Albuquerque , NM""",35.0841,-106.651
"""Azusa , CA""",34.1339,-117.9056
"""Gardiner , OR""",43.7301,-124.1106
"""Rock Springs , WY""",41.5861,-109.2195
"""Paauilo , HI""",20.041,-155.3669
"""Eugene , OR""",44.0505,-123.0951
"""Daly City , CA""",37.6905,-122.4727
"""Mendon , UT""",41.7099,-111.9777
"""Powell Butte , OR""",45.4871,-122.504
